MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,수,개롱,하선,1.9,6.8,7.55,20.95,8.1,7.55,11,14.5,16.95,18.45,24.45,33.2,23.6,43.1,35.6,27.95,25.75,26.2,16.3,7
1,수,거여,상선,20.2,22.5,51.65,54.95,32.35,22.55,17.8,19.3,17.7,16.2,15.4,20.8,15.1,17.6,11.45,7.85,6.95,5.45,2.8,0.75
1,수,거여,하선,0.7,2.65,2.3,7.9,3.25,3.25,4.8,6.35,6.35,7.25,10.5,14.6,9.95,17.3,14.7,11.8,11.85,10.3,7.3,3.6
1,수,둔촌동,상선,22.2,30.2,65.05,67.9,51.2,43.15,37.35,40.45,38.7,35.1,41.8,58.8,58.1,75.25,54.15,32.55,30.15,34,15,6.35
1,수,둔촌동,하선,10.8,22.35,45.75,95.05,31.85,23.8,28.95,34.4,36.4,34.05,38.9,48.55,34.2,58.05,42.55,37.05,33.85,32.15,20.2,10.4
1,수,마천,상선,10.5,11.4,23.25,23.85,13.25,9.05,7.55,8.25,7.25,7.2,5.9,7.7,5.55,7.45,3.9,3.15,2.45,2,0.9,0.3
1,수,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,수,방이,상선,22.3,28.45,65.05,67.55,49.4,37.4,30.15,33.55,33.6,28.2,33.45,46.65,45.05,69.7,44.8,27.9,25.8,26.75,11.15,2.45
1,수,방이,하선,9.4,17.75,30.45,65.75,22.8,16.95,22.1,26,27.85,27.4,32.85,44.05,32.45,53.45,40.6,35.55,32.6,34.65,19.9,8.7
1,수,오금,상선,20.2,24.55,57.85,62.5,44.45,33.15,26.85,30.1,30.15,26.6,30.95,45.05,42.05,62,39.5,25,21.6,21.55,10.5,2.15
1,수,오금,하선,3,10.45,11.35,29.75,11.6,10.85,15.25,20.4,23,25.45,32.2,45.85,31.85,57.35,47.45,38.05,34.65,35.85,22.05,9.3
1,수,올림픽공원,상선,15.5,21.85,46.2,50.75,37.8,31.95,27.35,29.95,29.15,26.5,32.45,45.05,43.65,60.15,42.3,26.35,24.05,27.5,12.25,5.15
1,수,올림픽공원,하선,7.1,15.15,27.5,61.4,19.45,15.3,19.35,23.2,25.2,24.7,31.15,41.15,27.7,48.75,36.1,31.3,28.35,27.3,18.65,8.05
