MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,토,동묘앞,상선,9.8,12.9,13.1,19.5,20.75,23.45,26.55,33.3,40.35,39.5,38.8,44.15,41.95,36.5,27.35,26.45,33.75,28.25,26.8,0
1,토,종로3가,상선,6.5,12.95,13.35,21.75,23.25,30,36.2,42.75,41.7,43.05,43.45,40.9,38.55,34.7,27.25,24.8,29.45,28.45,24.55,0
1,토,동대문,상선,8.1,10.8,11.55,17.4,18.65,22.2,26.35,30.1,37.2,36.2,35.9,38.25,34.95,33.45,24.5,23.55,28.8,26.1,24.2,0
1,금,종로3가,상선,7.2,14.15,25.05,42.45,38.25,32.35,30.1,36.35,37.05,37.25,39.3,38.5,49,86.35,42.2,31.45,36.05,33.15,22.15,8.55
1,토,종로5가,상선,5.9,11.05,11.25,17.25,18.8,22.9,27.35,33.45,34.5,35.95,38.05,35.7,34.25,33.1,24.45,23.45,27.75,26.75,22.15,0
1,금,종로5가,상선,6.5,12.25,19.05,31,29.3,26.55,25.45,31.1,33.15,35.6,38.25,38.45,49.25,88.65,43.85,33.7,38.6,32,21.9,8.1
1,목,종로5가,상선,6.3,11.85,18.4,29.95,28.3,25.7,24.65,30.1,32.1,34.45,36.95,37.2,47.65,85.75,42.45,32.65,37.35,31,21.15,7.9
1,수,종각,상선,7.7,15.4,27.2,41.25,39.6,32,32.4,35.4,35.9,34.85,35.5,35.85,46.35,80.4,42.05,31.9,32.05,30.75,21.05,8.5
1,화,종로5가,상선,6.2,11.75,18.3,29.85,28.2,25.5,24.5,29.9,31.9,34.25,36.75,36.95,47.4,85.3,42.2,32.45,37.1,30.8,21.05,7.8
1,수,종로5가,상선,6.2,11.75,18.3,29.75,28.1,25.5,24.45,29.85,31.8,34.15,36.65,36.85,47.25,85.1,42.1,32.35,37.05,30.7,21,7.8
1,목,종로3가,상선,6.8,13.45,23.7,40.3,36.25,30.65,28.55,34.45,35.15,35.35,37.3,36.5,46.45,81.9,40,29.8,34.15,31.4,20.95,8.1
1,금,종각,상선,7.7,15.35,27.05,41,39.4,31.85,32.2,35.2,35.7,34.7,35.3,35.65,46.05,79.95,41.8,31.75,31.95,30.6,20.9,8.4
1,수,종로3가,상선,6.8,13.35,23.55,40,36.05,30.4,28.35,34.2,34.95,35.1,37,36.25,46.1,81.3,39.75,29.6,33.9,31.2,20.85,8
1,목,종각,상선,7.6,15.25,26.9,40.8,39.15,31.7,32,35,35.5,34.5,35.1,35.45,45.8,79.5,41.6,31.55,31.7,30.4,20.8,8.4
