YEAR,MONTH,DAY,LINE,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_00
2011,1,금,1,동대문,상선,9.1,12.2,23.3,44.6,39.6,38.5,41.6,41.6,48.7,48.7,43.6,55.8,60.8,99.4,78.1,57.8,50.7,55.8,33.5,9.1
2011,1,금,1,동대문,하선,21.3,33.5,84.2,122.7,70.0,52.7,46.6,45.6,47.7,51.7,49.7,51.7,54.8,70.0,37.5,26.4,25.4,25.4,14.2,2.0
2011,1,금,1,동묘앞,상선,6.2,9.8,19.5,35.5,31.1,31.1,32.8,34.6,39.1,39.9,35.5,46.2,50.6,81.7,63.9,47.9,36.4,50.6,29.3,6.2
2011,1,금,1,동묘앞,하선,17.8,27.5,73.7,106.5,56.8,45.3,39.9,37.3,39.1,43.5,40.8,47.9,40.8,55.0,30.2,20.4,19.5,19.5,11.5,0.9
2011,1,금,1,서울역,상선,9.6,19.1,52.5,90.8,64.5,45.4,47.8,38.2,49.0,38.2,34.6,35.8,40.6,58.5,43.0,31.0,25.1,25.1,14.3,4.8
2011,1,금,1,서울역,하선,11.9,20.3,35.8,46.6,26.3,28.7,28.7,33.4,37.0,39.4,44.2,49.0,52.5,107.5,60.9,46.6,45.4,43.0,22.7,6.0
2011,1,금,1,시청,상선,8.9,17.9,43.5,77.0,61.4,48.0,50.2,42.4,50.2,43.5,36.8,43.5,46.9,75.9,54.7,42.4,34.6,34.6,22.3,5.6
2011,1,금,1,시청,하선,14.5,21.2,39.1,56.9,31.2,31.2,30.1,34.6,39.1,41.3,45.7,50.2,50.2,97.1,56.9,42.4,42.4,41.3,22.3,3.3
2011,1,금,1,신설동,상선,7.9,11.3,20.3,33.9,39.6,42.9,39.6,41.8,47.5,47.5,47.5,57.6,68.9,102.8,85.9,61.0,53.1,68.9,37.3,13.6
2011,1,금,1,신설동,하선,30.5,38.4,94.9,131.1,66.7,56.5,50.9,47.5,46.3,53.1,48.6,54.2,50.9,62.2,36.2,23.7,24.9,22.6,13.6,1.1
